text asli,text_prepro,compound scores,Sentimen
mau buat akun selalu kendala tahap setelah selesai tanda tangan elektronik aplikasi ada tulisan sedang diproses padahal menunggu sangat lama pendaftarannya sama mohon pencerahannyax,mau buat akun selalu kendala tahap telah selesai tanda tangan elektronik aplikasi ada tulis sedang proses padahal tunggu sangat lama daftar sama mohon pencerahannyax,4,Positif
sangat direkomendasikan aplikasi investasinya cara kerjanya sangat mudah dipahami yang kalah penting pencairannya cepat hari hari h csnya ramah padahal emailnya cukup terlambat untuk semuanya bagus,sangat rekomendasi aplikasi investasi cara kerja sangat mudah paham yang kalah penting cair cepat hari hari h csnya ramah padahal email cukup lambat untuk semua bagus,3,Positif
sangat menyukai sama bareksa ada trik apapun sudah berdiri sejak lama berpengalaman terus berinovasi sukses maju terus kritik pembayaran pembelian reksa dana lambat masuk portofolio,sangat suka sama bareksa ada trik apa sudah diri sejak lama alam terus inovasi sukses maju terus kritik bayar beli reksa dana lambat masuk portofolio,19,Positif
mohon ada biaya admin pembelian biaya transaksi pengiriman rekening dikurangi terlalu banyak pesaing aplikasi investasi banyak sekali ingat ada beberapa pelanggan mau berpindah aplikasi biayanya katakan disebutkan atas intinya apapun seorang developer bisa memahami cara menarik perhatian pelanggan yang ingin menggunakan aplikasi sebelumnya menyukai aplikasi maaf sekarang,mohon ada biaya admin beli biaya transaksi kirim rekening rang terlalu banyak saing aplikasi investasi banyak sekali ingat ada beberapa langgan mau pindah aplikasi biaya kata sebut atas inti apa orang developer bisa paham cara tarik perhati langgan yang ingin guna aplikasi belum suka aplikasi maaf sekarang,0,Positif
platform sangat bagus belajar investasi user interfacenya ramah mudah dimengerti semoga bareksa konsisten meningkatkan pelayanannya saran buatlah promo investor memasukkan saldo ribu menarik mendorong pengguna lebih aktif berinvestasi,platform sangat bagus ajar investasi user interfacenya ramah mudah erti moga bareksa konsisten tingkat layan saran buat promo investor masuk saldo ribu tarik dorong guna lebih aktif investasi,32,Positif
menu penjualan sekunder sbn khususnya sukuk ritel aplikasi saya cek tidak ada menu melakukan penjualan sebaiknya diupdate ada menu jual sbn di aplikasi sebelah ada menu jual sbn sederhana,menu jual sekunder sbn khusus sukuk ritel aplikasi saya cek tidak ada menu laku jual baik diupdate ada menu jual sbn di aplikasi belah ada menu jual sbn sederhana,-3,Negatif
halo kakak selamat mulai menggunakan tiba tiba bisa loginsuaranya kurang pas padahal pinnya benar kalaupun klik lupa pin tetap ada proses lebih lanjut bantu,halo kakak selamat mulai guna tiba tiba bisa loginsuaranya kurang pas padahal pin benar kalaupun klik lupa pin tetap ada proses lebih lanjut bantu,16,Positif
salah satu aplikasi investasi mudah dipelajari banyak pilihan produk kita berinvestasi ditambah yang berjalan disana investasi emas kini fitur sidik jari pin sangat membantu tidak perlu repot berlari login,salah satu aplikasi investasi mudah ajar banyak pilih produk kita investasi tambah yang jalan sana investasi emas kini fitur sidik jari pin sangat bantu tidak perlu repot lari login,-4,Negatif
aplikasinya semakin hari semakin berat sering crash handphone lag ram gb mungkin aplikasi cocok handphone ram gb keatas,aplikasi makin hari makin berat sering crash handphone lag ram gb mungkin aplikasi cocok handphone ram gb atas,-9,Negatif
aplikasi ditutup klik kali selalu muncul pop up diluncurkan sendiri android jadi susah ditutup memperbaikinya,aplikasi tutup klik kali selalu muncul pop up luncur sendiri android jadi susah tutup baik,-8,Negatif
aplikasinya sederhana tampilan sangat mudah dipahami warna tampilan nyaman mata saja proses pembelian pencairannya cukup lama mohon diperbaiki terima kasih,aplikasi sederhana tampil sangat mudah paham warna tampil nyaman mata saja proses beli cair cukup lama mohon baik terima kasih,16,Positif
responnya lama sekali akun hampir setengah bulan terverifikasi karena foto ektp terbaca ingin mengirim foto tersebut aplikasi tidak dapat dikunci hanya email customer service tidak menindaklanjuti,responnya lama sekali akun hampir tengah bulan verifikasi karena foto ektp baca ingin kirim foto sebut aplikasi tidak dapat kunci hanya email customer service tidak menindaklanjuti,-14,Negatif
dear bareksa akhirakhir setiap ingin menambah jumlah reksa dana selalu pernyataan produk dibeli lalu juga tidak bisa masuk aplikasi bareksa padahal baru mengupdate aplikasinya bantu,dear bareksa akhirakhir tiap ingin tambah jumlah reksa dana selalu nyata produk beli lalu juga tidak bisa masuk aplikasi bareksa padahal baru mengupdate aplikasi bantu,7,Positif
aplikasinya mudah digunakan pilihan reksa dananya banyak sekarang tabungan emas mungkin sekedar saran jenis pembayarannya ditambah ewallet lain,aplikasi mudah guna pilih reksa dana banyak sekarang tabung emas mungkin dar saran jenis bayar tambah ewallet lain,13,Positif
transaksi penjualan bisa dilakukan bank memakan waktu sangat lama hari kemudian aplikasi banyak error mencoba membeli produk berhasil lalu selanjutnya membeli produk sekaligus hasilnya status transaksi pembelian berhasil nav per hari hari transaksi diterima menunggu hari hingga pembayaran berjalan nab kunjung tiba terakhir indikator transaksi status penjualan berhasil yang dikirimkan langsung pengguna consumerprotectuu,transaksi jual bisa laku bank makan waktu sangat lama hari kemudian aplikasi banyak error coba beli produk hasil lalu lanjut beli produk sekaligus hasil status transaksi beli hasil nav per hari hari transaksi terima tunggu hari hingga bayar jalan nab kunjung tiba akhir indikator transaksi status jual hasil yang kirim langsung guna consumerprotectuu,35,Positif
investasi reksa dana mudah banget bagus aplikasinya tinggal tambah metode pembayarannya pakai gopay tinggal klik dana shopeepay biar lebih leluasa cara pembayarannya lebih leluasa sekarang bayar pakai via kok biayanya kalau bayar pakai va gratis dipungut biaya loh,investasi reksa dana mudah banget bagus aplikasi tinggal tambah metode bayar pakai gopay tinggal klik dana shopeepay biar lebih leluasa cara bayar lebih leluasa sekarang bayar pakai via kok biaya kalau bayar pakai va gratis pungut biaya loh,17,Positif
kakak mohon dipermudah pendaftarannya daftar selalu alasan dapat padahal saya punya ktp alasannya ktp jelas padahal saya mendaftar sebelumnya jelas saya suruh menjalankan pengaturan lalu alasannya saya melengkapi rekening bank menandatanganinya ktp susah verifikasi padahal daftar pegadaian sulit,kakak mohon mudah daftar daftar selalu alas dapat padahal saya punya ktp alas ktp jelas padahal saya daftar belum jelas saya suruh jalan atur lalu alas saya lengkap rekening bank menandatanganinya ktp susah verifikasi padahal daftar gadai sulit,-11,Negatif
pendatang baru aplikasi cukup puas fiturnya tapi mungkin bisa mempertimbangkan menambah rekening ada beberapa bank besar indonesia mungkin bisa menambahkannya jangan menggunakan bca terima kasih,datang baru aplikasi cukup puas fiturnya tapi mungkin bisa timbang tambah rekening ada beberapa bank besar indonesia mungkin bisa tambah jangan guna bca terima kasih,10,Positif
aplikasi reksa dana mudah digunakan dibeli penerapannya sulit aplikasi super memiliki cara meningkatkan kecepatan perbaiki,aplikasi reksa dana mudah guna beli terap sulit aplikasi super milik cara tingkat cepat baik,17,Positif
pelayanan csnya kurang memuaskan responnya lama sekali dibalas csnya kurang ramah terlalu tegas seperti orang sombong jawabannya saya sepertinya kurang cocok yang awam orang yang pendidikannya rendah,layan csnya kurang muas responnya lama sekali balas csnya kurang ramah terlalu tegas seperti orang sombong jawab saya seperti kurang cocok yang awam orang yang didik rendah,-15,Negatif
sangat membantu pemula ingin belajar investasi reksa dana download awal registrasinya cukup cepat customer service lewat wa responnya cepat mencoba investasi awal sebesar semoga kedepannya bisa rutin berinvestasi bulannya proses penjualan pencairan dananya cepat kedepannya,sangat bantu mula ingin ajar investasi reksa dana download awal registrasi cukup cepat customer service lewat wa responnya cepat coba investasi awal besar moga depan bisa rutin investasi bulan proses jual cair dana cepat depan,41,Positif
kasih bintang dulu baru download sejauh sangat membantu memilihmenganalisis produk reksa dana kebutuhan investasi mungkin kedepannya bisa membuat semacam fitur custom portfolio setiap reksa dana mempunyai tujuan berbedabeda untuk memudahkan dalam memantaumengalokasikan dana,kasih bintang dulu baru download jauh sangat bantu memilihmenganalisis produk reksa dana butuh investasi mungkin depan bisa buat macam fitur custom portfolio tiap reksa dana punya tuju berbedabeda untuk mudah dalam memantaumengalokasikan dana,33,Positif
awalnya sangat suka berinvestasi sini untuk pencairan dana rekening menunggu lama lebih hari padahal status transaksi selesai berbeda kompetitornya bibit sehari transaksi selesai dana masuk rekening,awal sangat suka investasi sini untuk cair dana rekening tunggu lama lebih hari padahal status transaksi selesai beda kompetitor bibit hari transaksi selesai dana masuk rekening,6,Positif
saja uinya kurang mungkin pemilihan iconnya kurang seragam kurang dibandingkan aplikasi sejenis lainnya padahal hadir cukup lama,saja uinya kurang mungkin pilih iconnya kurang seragam kurang banding aplikasi jenis lain padahal hadir cukup lama,-20,Negatif
bareksa kalau email customer service lambat responnya bagaimana peningkatan respon lalu akun tiba tiba berjalan saya login logout restart uninstall logout sama mencobanya di ponsel juga silakan lanjutkan investor menjadi risih menginvestasikan uangnya aplikasi itu kemudian investasi saya masukkan sesuai nominal awal apa solusinya ada tindak lanjut sekarang,bareksa kalau email customer service lambat responnya bagaimana tingkat respon lalu akun tiba tiba jalan saya login logout restart uninstall logout sama coba di ponsel juga sila lanjut investor jadi risih investasi uang aplikasi itu kemudian investasi saya masuk sesuai nominal awal apa solusi ada tindak lanjut sekarang,-10,Negatif
kok bisa dibuka kode smsnya brosur masukan kodenya hilang kenapa handphone otomatis terverifikasi jadi bisa dibuka belum terverifikasi saya tidak bisa daftar ulang email terdaftar systemjadi bagaimanaini caranya,kok bisa buka kode smsnya brosur masuk kode hilang kenapa handphone otomatis verifikasi jadi bisa buka belum verifikasi saya tidak bisa daftar ulang email daftar systemjadi bagaimanaini cara,-15,Negatif
pilihan reksa dananya cukup banyak setiap transaksinya biayanya keuntungan modal investasi sepertinya bisa menutupi biaya topup juga pilihan dipungut biaya tidak dipungut biaya tampaknya tidak efektif,pilih reksa dana cukup banyak tiap transaksi biaya untung modal investasi seperti bisa tutup biaya topup juga pilih pungut biaya tidak pungut biaya tampak tidak efektif,12,Positif
baru install cepat daftar akun sebelumnya sudah terdaftar bukalapak masih bisa membeli reksa dana masih proses verifikasi iklannya banyak sekali maaf cukup mengganggu buat,baru install cepat daftar akun belum sudah daftar bukalapak masih bisa beli reksa dana masih proses verifikasi iklan banyak sekali maaf cukup ganggu buat,10,Positif
kok iya terdaftar dapat masuk melalui website login aplikasi selalu muncul tulisan username password salah halo perbaiki lagipula bulan sejak pendaftaran baru diverifikasi kecewa,kok iya daftar dapat masuk lalu website login aplikasi selalu muncul tulis username password salah halo baik lagipula bulan sejak daftar baru verifikasi kecewa,-10,Negatif
akun akun error aplikasi hilang huruf digit aplikasi sama nyatanya transaksi penjualan masuk akunkomplain live chat malah disarankan ganti nama ganti nomor rekeningsudah ganti nomor rekening nama masih hilang huruf belum menu edit namawalaupun berjalan butuh dana cepatlebih belum masuk rekening dana,akun akun error aplikasi hilang huruf digit aplikasi sama nyata transaksi jual masuk akunkomplain live chat malah saran ganti nama ganti nomor rekeningsudah ganti nomor rekening nama masih hilang huruf belum menu edit namawalaupun jalan butuh dana cepatlebih belum masuk rekening dana,3,Positif
aplikasi diupdate versi untuk masuk menggunakan pin terkadang terjadi kesalahan sudah menghubungi lewat email wa bahkan menelpon customer service sama tidak kemajuan,aplikasi diupdate versi untuk masuk guna pin terkadang jadi salah sudah hubung lewat email wa bahkan telpon customer service sama tidak maju,-8,Negatif
aman cepat lengkap mudah semua terangkum satu aplikasi pemula sangat senang menjadi bagian bareksa,aman cepat lengkap mudah semua rangkum satu aplikasi mula sangat senang jadi bagi bareksa,18,Positif
bareksa kalau email customer service lambat responnya bagaimana peningkatan respon lalu akun tiba tiba jalan saya login logout restart uninstall logout sama mencobanya di ponsel juga silakan lanjutkan investor menjadi risih menginvestasikan uangnya aplikasi itu kemudian investasi saya masukkan sesuai nominal awal apa solusinya ada tindak lanjut sekarang,bareksa kalau email customer service lambat responnya bagaimana tingkat respon lalu akun tiba tiba jalan saya login logout restart uninstall logout sama coba di ponsel juga sila lanjut investor jadi risih investasi uang aplikasi itu kemudian investasi saya masuk sesuai nominal awal apa solusi ada tindak lanjut sekarang,-10,Negatif
sunting telah memberikan tangkapan layar mobile banking menunjukkan nama nomor rekening dana belum masuk rekening lebih baik jadikan pengalaman menurutku masuk akal kalau nama akunnya cocok jelas sama komentar sebelumnya pencairan membutuhkan waktu lebih hari customer service minta foto rekeningnya katanya gagal dicairkan nama rekening didaftarkan berbeda aplikasi mengatakan berhasil profesional,sunting telah beri tangkap layar mobile banking tunjuk nama nomor rekening dana belum masuk rekening lebih baik jadi alam turut masuk akal kalau nama akun cocok jelas sama komentar belum cair butuh waktu lebih hari customer service minta foto rekening kata gagal cair nama rekening daftar beda aplikasi kata hasil profesional,-11,Negatif
navigasi mudah tampilan aplikasi bagus sederhana ringan website diakses lengkap keamanan siber tetap menjadi perhatian,navigasi mudah tampil aplikasi bagus sederhana ringan website akses lengkap aman siber tetap jadi perhati,21,Positif
telah menggunakan aplikasi bareksa selama kurang lebih tahun investasi bareksa gunakan membantu membeli laptop saran memungkinkan tambahkan fitur mirip aplikasi serupa berwarna hijau jadi portofolionya disesuaikan tujuan investasi bukan konten produknya terima kasih,telah guna aplikasi bareksa lama kurang lebih tahun investasi bareksa guna bantu beli laptop saran mungkin tambah fitur mirip aplikasi rupa warna hijau jadi portofolio sesuai tuju investasi bukan konten produk terima kasih,17,Positif
sangat membantu menabung aplikasi sederhana tampilannya bagus registrasinya cepat mudah kerja tim bareksa bagus semoga aplikasi terupdate berjalan lebih baik terutama mengenai pembayaran ewallet lebih banyak khususnya ewallet dana tunggu pembaruan,sangat bantu tabung aplikasi sederhana tampil bagus registrasi cepat mudah kerja tim bareksa bagus moga aplikasi terupdate jalan lebih baik utama kena bayar ewallet lebih banyak khusus ewallet dana tunggu baru,28,Positif
verifikasi email berhasil hampir hari verifikasi pendaftaran stuck langkah ketiga proses verifikasi bareksa kok lama banget padahal daftar bukalapak masih pesanan berjalan aplikasi bukalapak sudah mempunyai sid seharusnya lebih mudah saya sudah tanya lewat email jawabannya sama tunggu kenapa lama sekali,verifikasi email hasil hampir hari verifikasi daftar stuck langkah tiga proses verifikasi bareksa kok lama banget padahal daftar bukalapak masih pesan jalan aplikasi bukalapak sudah punya sid harus lebih mudah saya sudah tanya lewat email jawab sama tunggu kenapa lama sekali,-6,Negatif
punyaku bisa dibuka lupa password bbm handphone rusak coba lupa password nya emailnya dari bareksa padahal emailnya benar wajar kalau bulan email masuk notifikasinya naikturun kok tidak ada email masuk,punya bisa buka lupa password bbm handphone rusak coba lupa password nya email dari bareksa padahal email benar wajar kalau bulan email masuk notifikasi naikturun kok tidak ada email masuk,1,Positif
suka banget sama aplikasinya customer servicenya lewat ig responnya cepat sayangnya hampir ada promo cashback baik mi maupun ewallet seperti tetangga sebelah promonya sekedar lotre,suka banget sama aplikasi customer servicenya lewat ig responnya cepat sayang hampir ada promo cashback baik mi maupun ewallet seperti tetangga belah promonya dar lotre,13,Positif
alhamdulillah belajar investasi walaupun besar sambil menyelam minum air sejauh tidak kendala transaksi jual beli berjalan lancar jika memungkinkan nominal pembeliannya diminimalkan bisa konsisten walaupun nominalnya kecil silahkan ditambah cara pembayarannya lebih mudah terima kasih,alhamdulillah ajar investasi walaupun besar sambil selam minum air jauh tidak kendala transaksi jual beli jalan lancar jika mungkin nominal beli minimal bisa konsisten walaupun nominal kecil silah tambah cara bayar lebih mudah terima kasih,18,Positif
memasukkan foto ktp bukti rekening harus mengulanginya tiba tiba terhapus sendiri terburuk mendaftar koneksi server terus terputus server sangat buruk bukan baru mendaftar kalau berinvestasi akan lebih banyak kendalanya padahal mau beli langsung data sudah masuk belum terdaftar jadi takut disalah gunakan admin instagram tidak merespon perlu saya tanyakan aplikasi tersebut aman investasi jangka panjang,masuk foto ktp bukti rekening harus ulang tiba tiba hapus sendiri buruk daftar koneksi server terus putus server sangat buruk bukan baru daftar kalau investasi akan lebih banyak kendala padahal mau beli langsung data sudah masuk belum daftar jadi takut salah guna admin instagram tidak merespon perlu saya tanya aplikasi sebut aman investasi jangka panjang,-26,Negatif
proses pendaftarannya cepat satu hari hari libur user interfacenya nyaman dilihat memiliki banyak fitur jenis reksa dana mendaftar otomatis akan diberikan saran afiliasi dompet digital ponsel tersebut memiliki dompet digital didaftarkan akun investasi intinya bagus,proses daftar cepat satu hari hari libur user interfacenya nyaman lihat milik banyak fitur jenis reksa dana daftar otomatis akan beri saran afiliasi dompet digital ponsel sebut milik dompet digital daftar akun investasi inti bagus,37,Positif
mohon mempercepat proses update harga satuan harian ibarat peramal membeli kucing karung diberi informasi harga satuan kemarin padahal hari anda membelinya mengikuti harga hari namun harganya diperbarui pembaruannya memakan waktu sangat lama proses pembelian unitnya lama,mohon cepat proses update harga satu hari ibarat amal beli kucing karung beri informasi harga satu kemarin padahal hari anda bel ikut harga hari namun harga baru baru makan waktu sangat lama proses beli unit lama,10,Positif
bintang mohon disediakan berbagai metode pembayaran dapat bebas biaya transfer hemat ribu per bulan trf beda bank ditagih awal terima kasih,bintang mohon sedia bagai metode bayar dapat bebas biaya transfer hemat ribu per bulan trf beda bank tagih awal terima kasih,2,Positif
sudah lama mendaftar bukalapak disetujui alfred ada masalah tanggal lahir ktp dan disuruh memperbaikinya dukcapil setelah koreksi dukcapil diserahkan customer service bukalapak belum disetujui langkah,sudah lama daftar bukalapak tuju alfred ada masalah tanggal lahir ktp dan suruh baik dukcapil telah koreksi dukcapil serah customer service bukalapak belum tuju langkah,7,Positif
aplikasinya bagus saya pemula tampilannya mudah dimengerti sayang sekali kalau pembelian reksa dana memakan waktu lama hari kerja sebaiknya dilakukan hari sama harganya cocok hari pembelian,aplikasi bagus saya mula tampil mudah erti sayang sekali kalau beli reksa dana makan waktu lama hari kerja baik laku hari sama harga cocok hari beli,12,Positif
terus mengikuti update aplikasi bareksa tampilan terbarunya sangat memuaskan untuk kecepatan penjualan produk reksa dana ternyata tergantung penyedianya,terus ikut update aplikasi bareksa tampil baru sangat muas untuk cepat jual produk reksa dana nyata gantung sedia,19,Positif
sudah mendaftar ketika menggunakannya profil lengkap kalau belum lengkap ditunjukkan bagian mana belum lengkap tahu kemarin komplain belum respon bagaimana,sudah daftar ketika guna profil lengkap kalau belum lengkap tunjuk bagi mana belum lengkap tahu kemarin komplain belum respon bagaimana,3,Positif
pengurusan ganti nomor handphone ribet sekali sudah diminta konfirmasi email tidak respon lambat sekali saat pergantian nomor aplikasi belum selesai,urus ganti nomor handphone ribet sekali sudah minta konfirmasi email tidak respon lambat sekali saat ganti nomor aplikasi belum selesai,-1,Negatif
aplikasi reksa dana sisi bagus notabene masih baru sisi lebih user friendly mudah dipahami,aplikasi reksa dana sisi bagus notabene masih baru sisi lebih user friendly mudah paham,5,Positif
masukan kalau pembayaran pakai ovo lebih mudah jangan dipersulit transaksi pakai ovo selalu gagal tidak pakai pembayaran ovo kalau sambungkan aplikasi ovo bareksa jadi tinggal klik pembayaran langsung pakai aplikasi bareksa terima kasih,masuk kalau bayar pakai ovo lebih mudah jangan sulit transaksi pakai ovo selalu gagal tidak pakai bayar ovo kalau sambung aplikasi ovo bareksa jadi tinggal klik bayar langsung pakai aplikasi bareksa terima kasih,-9,Negatif
aplikasinya kurang bagus harap tingkatkan cara berjalan aplikasi lebih mudah digunakan efisien semoga aplikasi bisa sekelas aplikasi shopee grab gojek bisa menerima mengembalikan dana lebih cepat jika pembelian ditolak dana otomatis ke rekening perlu aplikasi membutuhkan waktu lama hari kerja sangat kerugian,aplikasi kurang bagus harap tingkat cara jalan aplikasi lebih mudah guna efisien moga aplikasi bisa kelas aplikasi shopee grab gojek bisa terima kembali dana lebih cepat jika beli tolak dana otomatis ke rekening perlu aplikasi butuh waktu lama hari kerja sangat rugi,-4,Negatif
update masukan password selalu error keterangan koneksi terputus saya nonton youtube buka aplikasi dan mengaksesnya apa min,update masuk password selalu error terang koneksi putus saya nonton youtube buka aplikasi dan akses apa min,-8,Negatif
mohon konfirmasinya email terkirim reksa dana pemberitahuan penjualan unit berhasil aplikasi nilai investasi juga kosong sudah menjual semuanya kenapa ada bukti transfer reksa dana rekening saya mohon segera ditindak lanjuti saya kasih rating,mohon konfirmasi email kirim reksa dana pemberitahuan jual unit hasil aplikasi nilai investasi juga kosong sudah jual semua kenapa ada bukti transfer reksa dana rekening saya mohon segera tindak lanjut saya kasih rating,12,Positif
bareksa sekarang lebih bagus segi antarmuka lebih segar saran lembar fakta bisa dicubit memperbesar memperkecil lebih leluasa di bukareksa,bareksa sekarang lebih bagus segi antarmuka lebih segar saran lembar fakta bisa cubit besar kecil lebih leluasa di bukareksa,2,Positif
hari agustus update aplikasi fitur watchlist selalu error tidak diklikmohon penanganannya perbaikannya,hari agustus update aplikasi fitur watchlist selalu error tidak diklikmohon tangan baik,-13,Negatif
aplikasinya bagus mudah dipahami pemula lanjutkan tingkatkan lari bareksa selangkah lebih maju aplikasi sejenis,aplikasi bagus mudah paham mula lanjut tingkat lari bareksa selang lebih maju aplikasi jenis,-4,Negatif
mantap fitur navigasinya lengkap tinggal cek aplikasi ovo fitur investasi bareksa lebih mudah terintegrasi,mantap fitur navigasi lengkap tinggal cek aplikasi ovo fitur investasi bareksa lebih mudah integrasi,8,Positif
menggunakan bareksa selama lebih tahun semakin sering pergi sini aplikasinya semakin ramah pengguna sedikit masukan semoga dijadikan bahan pertimbangan harap tampilkan kode promo dimasukkandigunakan detail transaksi anda yakin kode promo diinput terima kasih,guna bareksa lama lebih tahun makin sering pergi sini aplikasi makin ramah guna sedikit masuk moga jadi bahan timbang harap tampil kode promo dimasukkandigunakan detail transaksi anda yakin kode promo diinput terima kasih,16,Positif
verifikasi akun rumit padahal screenshot informasi pembukaan rekening melalui tabungan digital dikirimkan y namanya tabungan digital ada bukti fisiknya ini buku tabungan fisik digunakan untuk pembukuan cari informasi mobile banking disana terdapat informasi nomor rekening saldo informasi lengkap tidak tersedia,verifikasi akun rumit padahal screenshot informasi buka rekening lalu tabung digital kirim y nama tabung digital ada bukti fisik ini buku tabung fisik guna untuk buku cari informasi mobile banking sana dapat informasi nomor rekening saldo informasi lengkap tidak sedia,18,Positif
fitur produk lengkap lain reksadana tabungan emas sbn saja dilakukan penyempurnaan lebih lanjut metode pembayarannya lebih baik bisa memiliki virtual account pilihan beberapa bank,fitur produk lengkap lain reksadana tabung emas sbn saja laku sempurna lebih lanjut metode bayar lebih baik bisa milik virtual account pilih beberapa bank,2,Positif
cara mendaftar aplikasi sangat mudah detail mengenai reksa dana sangat lengkap simulasi mengetahui hasil mungkin kita dapatkan melakukan transaksi reksa dana melalui aplikasi bareksa,cara daftar aplikasi sangat mudah detail kena reksa dana sangat lengkap simulasi tahu hasil mungkin kita dapat laku transaksi reksa dana lalu aplikasi bareksa,35,Positif
kekurangannya bareksa sebaiknya lebih memilih saham obligasi lebih berkelas selektif menjalankannya menampilkan produk kurang bagus terkadang masyarakat mencari lebih baik menjalankan pilihan investasi terbaik,kurang bareksa baik lebih pilih saham obligasi lebih kelas selektif jalan tampil produk kurang bagus terkadang masyarakat cari lebih baik jalan pilih investasi baik,4,Positif
pengalaman pertama beli reksana dana nyaman pas mau upload bukti transfer diupload ada pemuatan malah meminta unggahan berjalan mengecewakan,alam pertama beli reksana dana nyaman pas mau upload bukti transfer diupload ada muat malah minta unggah jalan kecewa,8,Positif
sekadar saran positif komandan profil risiko profil otomatis semua orang hanya orang pertama banyak metode pembayaran bisa menggunakan virtual banking ewallet,sekadar saran positif komandan profil risiko profil otomatis semua orang hanya orang pertama banyak metode bayar bisa guna virtual banking ewallet,-4,Negatif
sangat tertarik berinvestasi seorang pemula anda bingung memulainya mana sangat bersyukur bertemu bareksa semua media sosial aktif fast respon semua informasi kita dapatkan disana terima kasih walaupun main kecilkecilan semoga naik level membeli investasi lebih besar biar untung,sangat tarik investasi orang mula anda bingung mula mana sangat syukur temu bareksa semua media sosial aktif fast respon semua informasi kita dapat sana terima kasih walaupun main kecilkecilan moga naik level beli investasi lebih besar biar untung,29,Positif
aplikasinya bagus pilihan reksa dananya banyak bsi rekening utama aplikasi semoga segera ada rekening bsi rekening utama terima kasih,aplikasi bagus pilih reksa dana banyak bsi rekening utama aplikasi moga segera ada rekening bsi rekening utama terima kasih,14,Positif
memungkinkan harap tingkatkan arus transaksi jual beli lebih likuid cepat selesai yang diharapkan pelanggan lebih cepat lebih baik,mungkin harap tingkat arus transaksi jual beli lebih likuid cepat selesai yang harap langgan lebih cepat lebih baik,24,Positif
akhirakhir login lewat sidik jari lama masuknya customer service lambat respon pembelian reksa dana dijanjikan muncul portofolio x jam hari sekali muncul kalau sepele ini diperbaiki bagaimana kamu memegang banyak uang,akhirakhir login lewat sidik jari lama masuk customer service lambat respon beli reksa dana janji muncul portofolio x jam hari sekali muncul kalau sepele ini baik bagaimana kamu pegang banyak uang,-1,Negatif
pendaftarannya susah diupload foto ktp foto diri kali belum terverifikasi penyebabnya foto ktp sesuai foto diri iya pak foto ktp lama kotor buram harus sama foto aslinya wajah harus dikilap agar terlihat sama di ktp datanya masuk takutnya disalah gunakan harap kawan,daftar susah diupload foto ktp foto diri kali belum verifikasi sebab foto ktp sesuai foto diri iya pak foto ktp lama kotor buram harus sama foto asli wajah harus kilap agar lihat sama di ktp data masuk takut salah guna harap kawan,-8,Negatif
transaksi lakukan bukareksa bukalapak saya download aplikasi bareksa ada transaksi tercatat aplikasi bareksa padahal saya sudah mendaftar menggunakan email saya gunakan membuka bukareksa bukareksa,transaksi laku bukareksa bukalapak saya download aplikasi bareksa ada transaksi catat aplikasi bareksa padahal saya sudah daftar guna email saya guna buka bukareksa bukareksa,0,Positif
ingin menambahkan lebih banyak bulan investasi awalnya coba berhasil penjualan hampir hari dana penjualan masuk rekening,ingin tambah lebih banyak bulan investasi awal coba hasil jual hampir hari dana jual masuk rekening,9,Positif
mohon pembayaran lebih banyak pesanan melalui transfer ovo misalnya bank produk berbeda dikenakan biaya transfer biaya transfernya cukup besar lalu mendapat keuntungan sama belum cukup menggantikan biaya transfer hanya saran dasarnya adalah sebuah aplikasi benar benar teratas,mohon bayar lebih banyak pesan lalu transfer ovo misal bank produk beda kena biaya transfer biaya transfer cukup besar lalu dapat untung sama belum cukup ganti biaya transfer hanya saran dasar adalah buah aplikasi benar benar atas,31,Positif
bintang dulu kan versi mobile grafis produk reksa dananya belum ada pembayaran virtual account malah sekarang kok link rekening reksadana bukalapak tokopedia,bintang dulu kan versi mobile grafis produk reksa dana belum ada bayar virtual account malah sekarang kok link rekening reksadana bukalapak tokopedia,6,Positif
mendaftar bagian input kabupatenkota provinsi negara bank selalu menampilkan tersedia ada tersedia akan muncul tersedia jangan dibiarkan kosong saja ketika diinput ada tersedia,daftar bagi input kabupatenkota provinsi negara bank selalu tampil sedia ada sedia akan muncul sedia jangan biar kosong saja ketika diinput ada sedia,11,Positif
sayangnya hanya mempunyai rekening untuk mengganti rekening bank susah melalui email berbeda aplikasi sejenis lainnya bisa memiliki hingga rekening caranya mudah cukup lewat aplikasi,sayang hanya punya rekening untuk ganti rekening bank susah lalu email beda aplikasi jenis lain bisa milik hingga rekening cara mudah cukup lewat aplikasi,1,Positif
mohon maaf kasih bintang dulu soalnya mengalami kendala registrasi upload ektp tidak tekan tombol lanjutkan stuck terus disana mohon bantuannya segera perbaiki bug terima kasih,mohon maaf kasih bintang dulu soal alami kendala registrasi upload ektp tidak tekan tombol lanjut stuck terus sana mohon bantu segera baik bug terima kasih,9,Positif
berinvestasi bareksa mudah sederhana mungkin butuh waktu lama mendapatkan hasil maksimal ingin memberi saran ada investasi yang lebih mudah dipahami tidak sulit dipikirkan anda juga tambahkan deposito bank deposito negara kalau ada fitur tabungan rutin jadi menabung minggunya,investasi bareksa mudah sederhana mungkin butuh waktu lama dapat hasil maksimal ingin beri saran ada investasi yang lebih mudah paham tidak sulit pikir anda juga tambah deposito bank deposito negara kalau ada fitur tabung rutin jadi tabung minggu,25,Positif
